v4_4,Measure Type,Unit Multiplier,Data Marking,CV,calendar-years,admin-geography,ashe-statistics,ashe-sex,ashe-working-pattern,ashe-hours-and-earnings,ashe-workplace-or-residence
37.0,Count,1,,0.8,2016,E06000004,median,all,all,paid-hours-worked-basic,workplace
36.1,Count,1,,0.1,2016,K02000001,30,male,all,paid-hours-worked-basic,workplace
39.9,Count,1,,0.1,2016,E92000001,70,male,all,paid-hours-worked-basic,workplace
40.0,Count,1,,5.5,2016,E06000005,80,male,all,paid-hours-worked-basic,workplace
36.9,Count,1,,1.2,2016,E06000001,20,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000001,90,male,all,paid-hours-worked-basic,workplace
9.2,Count,1,,1.8,2016,E92000001,25,male,part-time,paid-hours-worked-basic,workplace
37.0,Count,1,,2.4,2016,E06000002,60,female,all,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000005,40,male,part-time,paid-hours-worked-basic,workplace
13.0,Count,1,,0.7,2016,E92000001,30,all,part-time,paid-hours-worked-basic,workplace
40.0,Count,1,,0.0,2016,K04000001,90,female,full-time,paid-hours-worked-basic,workplace
11.0,Count,1,,11.0,2016,E06000004,20,all,part-time,paid-hours-worked-basic,workplace
13.9,Count,1,,0.6,2016,E92000001,30,female,part-time,paid-hours-worked-basic,workplace
40.0,Count,1,,0.0,2016,K02000001,70,male,full-time,paid-hours-worked-basic,workplace
19.4,Count,1,,2.0,2016,E12000001,median,female,part-time,paid-hours-worked-basic,workplace
37.0,Count,1,,0.0,2016,K03000001,25,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000001,80,female,part-time,paid-hours-worked-basic,workplace
38.9,Count,1,,0.1,2016,K04000001,mean,male,full-time,paid-hours-worked-basic,workplace
13.6,Count,1,,13.0,2016,E06000002,20,female,part-time,paid-hours-worked-basic,workplace
37.0,Count,1,,0.0,2016,E12000001,25,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000001,10,all,all,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000001,10,all,part-time,paid-hours-worked-basic,workplace
40.0,Count,1,,0.1,2016,E12000001,75,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000003,75,all,all,paid-hours-worked-overtime,workplace
39.1,Count,1,,1.4,2016,E06000001,mean,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,22.0,2016,E06000004,40,all,all,paid-hours-worked-overtime,workplace
35.0,Count,1,,0.0,2016,K04000001,20,female,full-time,paid-hours-worked-basic,workplace
1.8,Count,1,,1.6,2016,K04000001,25,male,all,paid-hours-worked-overtime,workplace
37.5,Count,1,,2.4,2016,E06000003,60,female,full-time,paid-hours-worked-basic,workplace
5.5,Count,1,,1.6,2016,K04000001,60,male,all,paid-hours-worked-overtime,workplace
22.5,Count,1,,0.5,2016,K03000001,70,female,part-time,paid-hours-worked-basic,workplace
23.1,Count,1,,0.6,2016,K03000001,20,all,all,paid-hours-worked-basic,workplace
1.5,Count,1,,5.1,2016,E12000001,mean,male,all,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000005,80,female,part-time,paid-hours-worked-basic,workplace
37.0,Count,1,,0.8,2016,E06000002,median,all,all,paid-hours-worked-basic,workplace
1.0,Count,1,,2.0,2016,K02000001,20,female,all,paid-hours-worked-overtime,workplace
1.3,Count,1,,2.4,2016,E92000001,20,all,all,paid-hours-worked-overtime,workplace
30.0,Count,1,,9.4,2016,E06000003,30,all,all,paid-hours-worked-basic,workplace
32.7,Count,1,,0.4,2016,K04000001,median,female,all,paid-hours-worked-basic,workplace
35.6,Count,1,,0.6,2016,K04000001,60,female,all,paid-hours-worked-basic,workplace
29.0,Count,1,,0.1,2016,E92000001,mean,female,all,paid-hours-worked-basic,workplace
29.4,Count,1,,2.3,2016,E06000002,mean,female,all,paid-hours-worked-basic,workplace
29.8,Count,1,,12.0,2016,E06000003,40,female,all,paid-hours-worked-basic,workplace
39.0,Count,1,,1.6,2016,E06000003,70,all,all,paid-hours-worked-basic,workplace
37.5,Count,1,,0.0,2016,K04000001,median,all,full-time,paid-hours-worked-basic,workplace
38.0,Count,1,,0.1,2016,K03000001,60,male,all,paid-hours-worked-basic,workplace
37.5,Count,1,,0.0,2016,E06000002,median,all,full-time,paid-hours-worked-basic,workplace
40.0,Count,1,,0.0,2016,K03000001,80,male,all,paid-hours-worked-basic,workplace
11.5,Count,1,,16.0,2016,E06000002,25,all,part-time,paid-hours-worked-basic,workplace
38.0,Count,1,,0.8,2016,E12000001,60,male,all,paid-hours-worked-basic,workplace
37.5,Count,1,,1.0,2016,E06000004,70,all,all,paid-hours-worked-basic,workplace
9.0,Count,1,,2.1,2016,K04000001,80,all,full-time,paid-hours-worked-overtime,workplace
0.8,Count,1,,5.0,2016,K02000001,10,male,all,paid-hours-worked-overtime,workplace
37.5,Count,1,,2.3,2016,E06000005,mean,male,all,paid-hours-worked-basic,workplace
