Label,Notation,Parent,Sort Priority
2122,2122,,
2149,2149,,
2148,2148,,
2146,2146,,
2147,2147,,
2145,2145,,
2141,2141,,
2126,2126,,
2144,2144,,
2131,2131,,
2123,2123,,
2132,2132,,
2139,2139,,
2133,2133,,
2125,2125,,
2140,2140,,
2117,2117,,
2124,2124,,
2107,2107,,
2130,2130,,
2136,2136,,
2137,2137,,
2129,2129,,
2108,2108,,
2143,2143,,
2138,2138,,
2128,2128,,
2142,2142,,
2121,2121,,
2135,2135,,
2097,2097,,
2127,2127,,
2105,2105,,
2098,2098,,
2150,2150,,
2104,2104,,
2134,2134,,
2101,2101,,
2099,2099,,
2100,2100,,
2103,2103,,
2096,2096,,
2114,2114,,
2113,2113,,
2110,2110,,
2119,2119,,
2095,2095,,
2106,2106,,
2118,2118,,
2094,2094,,
2112,2112,,
2115,2115,,
2109,2109,,
2102,2102,,
2111,2111,,
2116,2116,,
2074,2074,,
2120,2120,,
2073,2073,,
2072,2072,,
2092,2092,,
2088,2088,,
2071,2071,,
2079,2079,,
2091,2091,,
2087,2087,,
2070,2070,,
2083,2083,,
2090,2090,,
2078,2078,,
2086,2086,,
2069,2069,,
2082,2082,,
2068,2068,,
2077,2077,,
2075,2075,,
2085,2085,,
2081,2081,,
2080,2080,,
2089,2089,,
2076,2076,,
2093,2093,,
2063,2063,,
2084,2084,,
2066,2066,,
2065,2065,,
2062,2062,,
2059,2059,,
2058,2058,,
2064,2064,,
2039,2039,,
2061,2061,,
2057,2057,,
2056,2056,,
2055,2055,,
2054,2054,,
2040,2040,,
2060,2060,,
2023,2023,,
2067,2067,,
2031,2031,,
2022,2022,,
2046,2046,,
2052,2052,,
2051,2051,,
2045,2045,,
2019,2019,,
2044,2044,,
2026,2026,,
2043,2043,,
2047,2047,,
2050,2050,,
2049,2049,,
2048,2048,,
2042,2042,,
2053,2053,,
2030,2030,,
2028,2028,,
2027,2027,,
2038,2038,,
2029,2029,,
2033,2033,,
2020,2020,,
2037,2037,,
2025,2025,,
2035,2035,,
2032,2032,,
2036,2036,,
2017,2017,,
2034,2034,,
2041,2041,,
1991,1991,,
2021,2021,,
2014,2014,,
2010,2010,,
2016,2016,,
2005,2005,,
2006,2006,,
2015,2015,,
2009,2009,,
2018,2018,,
1982,1982,,
2008,2008,,
2007,2007,,
2013,2013,,
2012,2012,,
2004,2004,,
2003,2003,,
2024,2024,,
1956,1956,,
1978,1978,,
1962,1962,,
1952,1952,,
1960,1960,,
1963,1963,,
1954,1954,,
1971,1971,,
1961,1961,,
1955,1955,,
1969,1969,,
1957,1957,,
1965,1965,,
1958,1958,,
1974,1974,,
1973,1973,,
1959,1959,,
1953,1953,,
1966,1966,,
1972,1972,,
1951,1951,,
1983,1983,,
1964,1964,,
1967,1967,,
1988,1988,,
1985,1985,,
1950,1950,,
1987,1987,,
1968,1968,,
1993,1993,,
1970,1970,,
1986,1986,,
1998,1998,,
1994,1994,,
1989,1989,,
1984,1984,,
1996,1996,,
1997,1997,,
1990,1990,,
1995,1995,,
1976,1976,,
1975,1975,,
1979,1979,,
1980,1980,,
1992,1992,,
1977,1977,,
2011,2011,,
1981,1981,,
1999,1999,,
2000,2000,,
2001,2001,,
2002,2002,,
