title,name,component_attachment,property_template,value_template,datatype,value_transformation,regex,range
Value,value,qb:dimension,http://purl.org/linked-data/cube#measureType,http://gss-data.org.uk/def/measure/{measure_type},number,,,
Measure Type,measure_type,qb:attribute,,http://gss-data.org.uk/def/measure/{measure_type},string,,,
GBP,gbp,qb:measure,,,string,,,
Count,count,qb:measure,,,string,,,
Unit Multiplier,unit multiplier,qb:attribute,http://gss-data.org.uk/def/attribute/unit-multiplier,http://gss-data.org.uk/def/attribute/unit-multiplier/{unit_multiplier},string,,,
Data Marking,data marking,qb:attribute,http://gss-data.org.uk/def/attribute/data-marking,http://gss-data.org.uk/def/attribute/data-marking/{data_marking},string,,,
CV,cv,qb:attribute,http://gss-data.org.uk/def/attribute/cv,http://gss-data.org.uk/def/attribute/cv/{cv},string,,,
cmd calendar years,cmd_calendar_years,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-calendar-years,http://gss-data.org.uk/def/concept/cmd-calendar-years/{cmd_calendar_years},string,slugize,,
cmd admin geography,cmd_admin_geography,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-admin-geography,http://gss-data.org.uk/def/concept/cmd-admin-geography/{cmd_admin_geography},string,slugize,,
cmd ashe statistics,cmd_ashe_statistics,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-ashe-statistics,http://gss-data.org.uk/def/concept/cmd-ashe-statistics/{cmd_ashe_statistics},string,slugize,,
cmd ashe sex,cmd_ashe_sex,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-ashe-sex,http://gss-data.org.uk/def/concept/cmd-ashe-sex/{cmd_ashe_sex},string,slugize,,
cmd ashe working pattern,cmd_ashe_working_pattern,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-ashe-working-pattern,http://gss-data.org.uk/def/concept/cmd-ashe-working-pattern/{cmd_ashe_working_pattern},string,slugize,,
cmd ashe hours and earnings,cmd_ashe_hours_and_earnings,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-ashe-hours-and-earnings,http://gss-data.org.uk/def/concept/cmd-ashe-hours-and-earnings/{cmd_ashe_hours_and_earnings},string,slugize,,
cmd ashe workplace or residence,cmd_ashe_workplace_or_residence,qb:dimension,http://gss-data.org.uk/def/dimension/cmd-ashe-workplace-or-residence,http://gss-data.org.uk/def/concept/cmd-ashe-workplace-or-residence/{cmd_ashe_workplace_or_residence},string,slugize,,
