Label,Description,Component Type,Codelist,Path,Range,Parent
GBP,,Measure,,measure/cmd/gbp,,
Count,,Measure,,measure/cmd/count,,
Unit Multiplier,,Attribute,,measure/cmd/unit-multiplier,,
Data Marking,,Attribute,,measure/cmd/data-marking,,
CV,,Attribute,,measure/cmd/cv,,
ashe statistics,,Dimension,http://gss-data.org.uk/def/concept-scheme/ashe-statistics,measure/cmd/ashe-statistics,,
ashe sex,,Dimension,http://gss-data.org.uk/def/concept-scheme/ashe-sex,measure/cmd/ashe-sex,,
ashe working pattern,,Dimension,http://gss-data.org.uk/def/concept-scheme/ashe-working-pattern,measure/cmd/ashe-working-pattern,,
ashe hours and earnings,,Dimension,http://gss-data.org.uk/def/concept-scheme/ashe-hours-and-earnings,measure/cmd/ashe-hours-and-earnings,,
ashe workplace or residence,,Dimension,http://gss-data.org.uk/def/concept-scheme/ashe-workplace-or-residence,measure/cmd/ashe-workplace-or-residence,,
